time,open,high,low,close
1869696000,0.28,0.28,0.28,0.28
1872288000,0.23,0.23,0.23,0.23
1874966400,0.05,0.05,0.05,0.05
1877558400,0.04,0.04,0.04,0.04
1880236800,0.17,0.17,0.17,0.17
1882915200,0.33,0.33,0.33,0.33
1885507200,0.45,0.45,0.45,0.45
1888185600,0.52,0.52,0.52,0.52
1890777600,0.64,0.64,0.64,0.64
1893456000,0.59,0.59,0.59,0.59
1896134400,0.46,0.46,0.46,0.46
1898553600,0.34,0.34,0.34,0.34
1901232000,0.38,0.38,0.38,0.38
1903824000,0.48,0.48,0.48,0.48
1906502400,0.46,0.46,0.46,0.46
1909094400,0.25,0.25,0.25,0.25
1911772800,0.03,0.03,0.03,0.03
1914451200,-0.07,-0.07,-0.07,-0.07
1917043200,0.02,0.02,0.02,0.02
1919721600,0.11,0.11,0.11,0.11
1922313600,-0.01,-0.01,-0.01,-0.01
1924992000,-0.26,-0.26,-0.26,-0.26
1927670400,-0.5,-0.5,-0.5,-0.5
1930089600,-0.47,-0.47,-0.47,-0.47
1932768000,-0.37,-0.37,-0.37,-0.37
1935360000,-0.26,-0.26,-0.26,-0.26
1938038400,-0.29,-0.29,-0.29,-0.29
1940630400,-0.3,-0.3,-0.3,-0.3
1943308800,-0.25,-0.25,-0.25,-0.25
1945987200,-0.16,-0.16,-0.16,-0.16
1948579200,-0.13,-0.13,-0.13,-0.13
1951257600,-0.15,-0.15,-0.15,-0.15
1953849600,-0.08,-0.08,-0.08,-0.08
1956528000,-0.05,-0.05,-0.05,-0.05
1959206400,0.07,0.07,0.07,0.07
1961712000,0.19,0.19,0.19,0.19
1964390400,0.47,0.47,0.47,0.47
1966982400,0.66,0.66,0.66,0.66
1969660800,0.72,0.72,0.72,0.72
1972252800,0.79,0.79,0.79,0.79
1974931200,1.07,1.07,1.07,1.07
1977609600,1.58,1.58,1.58,1.58
1980201600,1.97,1.97,1.97,1.97
1982880000,2.18,2.18,2.18,2.18
1985472000,2.23,2.23,2.23,2.23
1988150400,2.18,2.18,2.18,2.18
1990828800,1.92,1.92,1.92,1.92
1993248000,1.54,1.54,1.54,1.54
1995926400,1.29,1.29,1.29,1.29
1998518400,1.06,1.06,1.06,1.06
2001196800,0.72,0.72,0.72,0.72
2003788800,0.31,0.31,0.31,0.31
2006467200,-0.08,-0.08,-0.08,-0.08
2009145600,-0.46,-0.46,-0.46,-0.46
2011737600,-0.81,-0.81,-0.81,-0.81
2014416000,-1.0,-1.0,-1.0,-1.0
2017008000,-0.91,-0.91,-0.91,-0.91
2019686400,-0.6,-0.6,-0.6,-0.6
2022364800,-0.42,-0.42,-0.42,-0.42
2024784000,-0.34,-0.34,-0.34,-0.34
2027462400,-0.43,-0.43,-0.43,-0.43
2030054400,-0.51,-0.51,-0.51,-0.51
2032732800,-0.45,-0.45,-0.45,-0.45
2035324800,-0.3,-0.3,-0.3,-0.3
2038003200,-0.16,-0.16,-0.16,-0.16
2040681600,-0.24,-0.24,-0.24,-0.24
2043273600,-0.56,-0.56,-0.56,-0.56
2045952000,-0.92,-0.92,-0.92,-0.92
2048544000,-1.14,-1.14,-1.14,-1.14
2051222400,-1.04,-1.04,-1.04,-1.04
2053900800,-0.85,-0.85,-0.85,-0.85
2056320000,-0.77,-0.77,-0.77,-0.77
2058998400,-0.78,-0.78,-0.78,-0.78
2061590400,-0.78,-0.78,-0.78,-0.78
2064268800,-0.63,-0.63,-0.63,-0.63
2066860800,-0.49,-0.49,-0.49,-0.49
2069539200,-0.46,-0.46,-0.46,-0.46
2072217600,-0.4,-0.4,-0.4,-0.4
2074809600,-0.35,-0.35,-0.35,-0.35
2077488000,-0.27,-0.27,-0.27,-0.27
2080080000,-0.36,-0.36,-0.36,-0.36
2082758400,-0.49,-0.49,-0.49,-0.49
2085436800,-0.47,-0.47,-0.47,-0.47
2087942400,-0.31,-0.31,-0.31,-0.31
2090620800,-0.2,-0.2,-0.2,-0.2
2093212800,-0.12,-0.12,-0.12,-0.12
2095891200,-0.04,-0.04,-0.04,-0.04
2098483200,0.22,0.22,0.22,0.22
2101161600,0.44,0.44,0.44,0.44
2103840000,0.71,0.71,0.71,0.71
2106432000,0.94,0.94,0.94,0.94
2109110400,1.14,1.14,1.14,1.14
2111702400,1.22,1.22,1.22,1.22
2114380800,1.23,1.23,1.23,1.23
2117059200,1.19,1.19,1.19,1.19
2119478400,1.06,1.06,1.06,1.06
2122156800,0.95,0.95,0.95,0.95
2124748800,0.97,0.97,0.97,0.97
2127427200,1.22,1.22,1.22,1.22
2130019200,1.51,1.51,1.51,1.51
2132697600,1.7,1.7,1.7,1.7
2135376000,1.65,1.65,1.65,1.65
2137968000,1.48,1.48,1.48,1.48
2140646400,1.25,1.25,1.25,1.25
2143238400,1.11,1.11,1.11,1.11
2145916800,0.81,0.81,0.81,0.81
2148595200,0.54,0.54,0.54,0.54
2151014400,0.14,0.14,0.14,0.14
2153692800,-0.31,-0.31,-0.31,-0.31
2156284800,-0.88,-0.88,-0.88,-0.88
2158963200,-1.3,-1.3,-1.3,-1.3
2161555200,-1.3,-1.3,-1.3,-1.3
2164233600,-1.11,-1.11,-1.11,-1.11
2166912000,-1.19,-1.19,-1.19,-1.19
2169504000,-1.48,-1.48,-1.48,-1.48
2172182400,-1.8,-1.8,-1.8,-1.8
2174774400,-1.85,-1.85,-1.85,-1.85
2177452800,-1.69,-1.69,-1.69,-1.69
2180131200,-1.43,-1.43,-1.43,-1.43
2182550400,-1.08,-1.08,-1.08,-1.08
2185228800,-0.83,-0.83,-0.83,-0.83
2187820800,-0.58,-0.58,-0.58,-0.58
2190499200,-0.4,-0.4,-0.4,-0.4
2193091200,-0.31,-0.31,-0.31,-0.31
2195769600,-0.27,-0.27,-0.27,-0.27
2198448000,-0.24,-0.24,-0.24,-0.24
2201040000,-0.22,-0.22,-0.22,-0.22
2203718400,-0.16,-0.16,-0.16,-0.16
2206310400,-0.05,-0.05,-0.05,-0.05
2208988800,0.14,0.14,0.14,0.14
2211667200,0.21,0.21,0.21,0.21
2214172800,0.28,0.28,0.28,0.28
2216851200,0.29,0.29,0.29,0.29
2219443200,0.29,0.29,0.29,0.29
2222121600,0.31,0.31,0.31,0.31
2224713600,0.33,0.33,0.33,0.33
2227392000,0.38,0.38,0.38,0.38
2230070400,0.39,0.39,0.39,0.39
2232662400,0.35,0.35,0.35,0.35
2235340800,0.4,0.4,0.4,0.4
2237932800,0.41,0.41,0.41,0.41
2240611200,0.41,0.41,0.41,0.41
2243289600,0.26,0.26,0.26,0.26
2245708800,0.22,0.22,0.22,0.22
2248387200,0.26,0.26,0.26,0.26
2250979200,0.45,0.45,0.45,0.45
2253657600,0.64,0.64,0.64,0.64
2256249600,0.73,0.73,0.73,0.73
2258928000,0.64,0.64,0.64,0.64
2261606400,0.62,0.62,0.62,0.62
2264198400,0.79,0.79,0.79,0.79
2266876800,1.21,1.21,1.21,1.21
2269468800,1.53,1.53,1.53,1.53
2272147200,1.71,1.71,1.71,1.71
2274825600,1.63,1.63,1.63,1.63
2277244800,1.48,1.48,1.48,1.48
2279923200,1.29,1.29,1.29,1.29
2282515200,1.06,1.06,1.06,1.06
2285193600,0.73,0.73,0.73,0.73
2287785600,0.37,0.37,0.37,0.37
2290464000,0.09,0.09,0.09,0.09
2293142400,-0.13,-0.13,-0.13,-0.13
2295734400,-0.25,-0.25,-0.25,-0.25
2298412800,-0.28,-0.28,-0.28,-0.28
2301004800,-0.13,-0.13,-0.13,-0.13
2303683200,0.09,0.09,0.09,0.09
2306361600,0.3,0.3,0.3,0.3
2308780800,0.5,0.5,0.5,0.5
2311459200,0.67,0.67,0.67,0.67
2314051200,0.7,0.7,0.7,0.7
2316729600,0.57,0.57,0.57,0.57
2319321600,0.32,0.32,0.32,0.32
2322000000,0.25,0.25,0.25,0.25
2324678400,0.15,0.15,0.15,0.15
2327270400,0.1,0.1,0.1,0.1
2329948800,0.04,0.04,0.04,0.04
2332540800,0.06,0.06,0.06,0.06
2335219200,0.06,0.06,0.06,0.06
2337897600,0.07,0.07,0.07,0.07
2340403200,0.17,0.17,0.17,0.17
2343081600,0.31,0.31,0.31,0.31
2345673600,0.42,0.42,0.42,0.42
2348352000,0.41,0.41,0.41,0.41
2350944000,0.44,0.44,0.44,0.44
2353622400,0.43,0.43,0.43,0.43
2356300800,0.55,0.55,0.55,0.55
2358892800,0.74,0.74,0.74,0.74
2361571200,1.01,1.01,1.01,1.01
2364163200,1.09,1.09,1.09,1.09
2366841600,0.96,0.96,0.96,0.96
2369520000,0.72,0.72,0.72,0.72
2371939200,0.53,0.53,0.53,0.53
2374617600,0.3,0.3,0.3,0.3
2377209600,0.14,0.14,0.14,0.14
2379888000,-0.03,-0.03,-0.03,-0.03
2382480000,-0.24,-0.24,-0.24,-0.24
2385158400,-0.54,-0.54,-0.54,-0.54
2387836800,-0.81,-0.81,-0.81,-0.81
2390428800,-0.97,-0.97,-0.97,-0.97
2393107200,-1.0,-1.0,-1.0,-1.0
2395699200,-0.98,-0.98,-0.98,-0.98
2398377600,-0.9,-0.9,-0.9,-0.9
2401056000,-0.75,-0.75,-0.75,-0.75
